PAYEE_ITEM_DESC,CATÉGORIE,QUANTITÉ,STATUT,TRAN_DATE,REMARQUES
"News (5jrs)","Quotidienne",-25000.00,"C","2025-11-12","",
"Photocopie/Impression","VINA",-4500.00,"C","2025-11-13","",
"Transfert de MVOLA","Transfer (Inward)",200000.00,"C","2025-11-14","",
"Bajaj","Transport",-4000.00,"C","2025-11-14","",
"Saucisse","Quotidienne",-3000.00,"C","2025-11-15","",
"Extra NON SUIVI ❎","Extra NON SUIVI ❎",-157100.00,"C","2025-11-15","",
"Sakafo, News","Quotidienne",-5500.00,"C","2025-11-16","",
"News, Café, Extra-propre","Quotidienne",-6100.00,"C","2025-11-16","",
"Afterwork","Afterwork",-30000.00,"C","2025-11-17","",
"News","Quotidienne",-10000.00,"C","2025-11-17","",
"Patte (2), Laoka","Quotidienne",-4400.00,"C","2025-11-17","",
"Transfert de MVOLA","Transfer (Inward)",60000.00,"C","2025-11-17","",
"News","Quotidienne",-5000.00,"C","2025-11-17","",
"Sakafo Atoandro (Tsaradia)","Quotidienne",-9500.00,"C","2025-11-17","",
"Café, Extra-propre","Quotidienne",-900.00,"C","2025-11-18","",
"Afterwork","Afterwork",-13200.00,"C","2025-11-18","",
"Transfert de MVOLA","Transfer (Inward)",40000.00,"C","2025-11-18","",
"News","Quotidienne",-6000.00,"C","2025-11-18","",
"Sakafo (Atoandro_Hotely)","Quotidienne",-5000.00,"C","2025-11-18","",
"Transfert de COFFRE","Transfer (Inward)",100000.00,"C","2025-11-19","",
"Transfert de COFFRE","Transfer (Inward)",1000000.00,"C","2025-11-19","",
"Afterwork","Afterwork",-60000.00,"C","2025-11-19","",
"Bajaj","Transport",-4000.00,"C","2025-11-19","",
"Photocopie/Impression","VINA",-800.00,"C","2025-11-19","",
"Sakafo, Duru, Extra-propre, Café GM","Quotidienne",-11000.00,"C","2025-11-19","",
"News","Quotidienne",-4600.00,"C","2025-11-19","",
"@SAROBIDY","Aide",-20000.00,"C","2025-11-20","",
"Carburant @lalaina","Automobile",-13000.00,"C","2025-11-20","",
"Afterwork","Afterwork",-26000.00,"C","2025-11-20","",
"Transfert vers ORANGE MONEY","Transfer (Outward)",-900000.00,"C","2025-11-20","",
"Transfert vers ORANGE MONEY","Transfer (Outward)",-70000.00,"U","2025-11-20","",
"@SAROBIDY","Goûters",-200000.00,"C","2025-11-21","",
"Transfert de COFFRE","Transfer (Inward)",1000000.00,"C","2025-11-21","",
"Transfert vers MVOLA","Transfer (Outward)",-100000.00,"C","2025-11-21","",
"@FENO","VINA",-200000.00,"C","2025-11-21","",
"Hébergement @FENO @LALAINA","Frais",-100000.00,"C","2025-11-21","",
"MJG > TNR","Transport",-60000.00,"C","2025-11-21","",
"Bajaj","Transport",-15000.00,"C","2025-11-21","",
"Voan-dalana MJG","Cadeaux - offerts",-32500.00,"C","2025-11-21","",
"Avant Départ TNR","Afterwork",-32000.00,"C","2025-11-21","",
"Extra NON SUIVI ❎","Extra NON SUIVI ❎",-268100.00,"C","2025-11-22","",
"Transfert de COFFRE","Transfer (Inward)",1000000.00,"C","2025-11-23","",
"Fête A/BAO","Quotidienne",-159900.00,"C","2025-11-23","",
"Transfert vers MVOLA","Transfer (Outward)",-200000.00,"C","2025-11-24","",
"Transfert vers ORANGE MONEY","Transfer (Outward)",-510000.00,"C","2025-11-24","",
"T-shirt (4)","Habillements",-85000.00,"C","2025-11-24","",
"Transfert de MVOLA","Transfer (Inward)",20000.00,"C","2025-11-24","",
"Moto A/vona Cotisse","Transport",-12000.00,"C","2025-11-24","",
"Sakafo + Coca","Quotidienne",-12000.00,"C","2025-11-24","",
"News","Quotidienne",-5000.00,"C","2025-11-24","",
"@TAHIANA","Afterwork",-27200.00,"C","2025-11-24","",
"Transfert de BOA","Transfer (Inward)",300000.00,"C","2025-11-25","",
"T/ve @ZO @LALAINA @HIROKO","Afterwork",-136700.00,"C","2025-11-25","",
"Transfert vers ORANGE MONEY","Transfer (Outward)",-150000.00,"C","2025-11-25","",
"Bajaj","Transport",-1500.00,"C","2025-11-25","",
"Bajaj","Transport",-12000.00,"C","2025-11-26","",
"Carte Telma","Crédits Phone",-1000.00,"C","2025-11-26","",
"@HIROKO MIAMI/LONGO","Aide",-123500.00,"C","2025-11-26","",
"Transfert de COFFRE","Transfer (Inward)",2000000.00,"C","2025-11-26","",
"News","Quotidienne",-5000.00,"C","2025-11-26","",
"Transfert vers MVOLA","Transfer (Outward)",-10000.00,"C","2025-11-26","",
"News","Quotidienne",-5000.00,"C","2025-11-26","",
"Bajaj","Transport",-5500.00,"C","2025-11-27","",
"Queens","Afterwork",-12000.00,"C","2025-11-27","",
"@LALAINA","Crédits Phone",-36600.00,"C","2025-11-27","",
"Transfert vers MVOLA","Transfer (Outward)",-975000.00,"C","2025-11-27","",
"Aigle D'or","Habillements",-72000.00,"C","2025-11-27","",
